zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
2113,42.36526,-71.05524,Boston,MA,Massachusetts,TRUE,,6522,25874.3,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2114,42.36337,-71.06686,Boston,MA,Massachusetts,TRUE,,13853,12062.5,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2115,42.34046,-71.09481,Boston,MA,Massachusetts,TRUE,,28621,15548.9,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2116,42.35105,-71.07638,Boston,MA,Massachusetts,TRUE,,22040,13104,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2118,42.33806,-71.07057,Boston,MA,Massachusetts,TRUE,,28522,10124.7,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2119,42.32405,-71.08522,Roxbury,MA,Massachusetts,TRUE,,26851,6418.6,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2120,42.33212,-71.09654,Roxbury Crossing,MA,Massachusetts,TRUE,,15248,9510.7,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2121,42.3057,-71.08693,Dorchester,MA,Massachusetts,TRUE,,28298,5794.2,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2122,42.29427,-71.05185,Dorchester,MA,Massachusetts,TRUE,,23471,5339,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2124,42.28583,-71.07114,Dorchester Center,MA,Massachusetts,TRUE,,55897,7272,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2125,42.31578,-71.0562,Dorchester,MA,Massachusetts,TRUE,,33069,5889.5,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2126,42.27588,-71.0918,Mattapan,MA,Massachusetts,TRUE,,25313,5345.6,25025,Suffolk,"{""25025"": 99.47, ""25021"": 0.53}",Suffolk|Norfolk,25025|25021,FALSE,FALSE,America/New_York
2127,42.33455,-71.03875,South Boston,MA,Massachusetts,TRUE,,36646,6876.2,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2128,42.37324,-71.01616,East Boston,MA,Massachusetts,TRUE,,44124,3390.5,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2129,42.37975,-71.06167,Charlestown,MA,Massachusetts,TRUE,,19994,5702.9,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2130,42.30823,-71.11515,Jamaica Plain,MA,Massachusetts,TRUE,,41109,4483.2,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2131,42.28392,-71.12468,Roslindale,MA,Massachusetts,TRUE,,31564,4371.8,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2132,42.27931,-71.16072,West Roxbury,MA,Massachusetts,TRUE,,27069,2148.7,25025,Suffolk,"{""25025"": 99.84, ""25021"": 0.16}",Suffolk|Norfolk,25025|25021,FALSE,FALSE,America/New_York
